日時,名称,PF,トピック,起源,背景,影響
2026-01-14 10:30,「〇〇はいいぞ」構文,"X,TikTok,YouTube","アニメ,ゲーム,日常,推薦",冬アニメのキャラクターが特定の物を熱烈に推薦するセリフが元ネタ。,冬クールで始まった人気アニメの登場人物が「〇〇はいいぞ」と力説するシーンが話題に。視聴者が自分の好きなものを推薦する際に模倣し始めた。,幅広いジャンルで使われ、ユーザー間の「推し」の共有や新たな興味の発見に繋が
2026-01-17 15:30,#猫ミーム選手権,"TikTok,X,YouTube","Animals,Comedy,Video editing",様々な猫の動画にBGMやテロップを付けて面白おかしく編集するミーム。元々は海外発祥だが、日本で独自の進化を遂げた。,短い動画で手軽に作成・共有できるため、若年層を中心に人気が爆発。特に可愛らしい猫とシュールなBGMの組み合わせが受けている。,TikTokでの投稿数が急増し、関連動画が多数作成された。ハッシュタグがトレンド入りし、猫関連グッズの売上にも影響を与えた。
2026-01-15 11:00,〇〇すぎて草,"X,TikTok","Daily life,Humor,Reaction",ある状況や出来事が極端すぎて笑える、という感情を表す際に使われるフレーズ。特定の動画や画像に対して使われ始め、汎用性が高い。,日常の面白い出来事や、ゲームでの珍プレー、有名人の発言など、様々な文脈で「〇〇すぎて草」というコメントが付けられ、共感を呼んだ。,特定のハッシュタグや動画にこのフレーズが頻繁に使われ、一時的なトレンドワードとなった。共感性の高い投稿が拡散された。
2026-01-13 20:00,令和の〇〇,"X,YouTube","Society,Culture,Nostalgia",過去の流行や現象を現代（令和）に置き換えて表現する際に使われる。特に、昭和や平成の文化と比較して「令和版」として紹介されることが多い。,昔の流行が再評価されたり、新しい世代が独自の文化を創造する中で、「令和のアイドル」「令和のギャル」など、特定の人物や現象を指す言葉として使われた。,世代間の文化比較や、新しいトレンドの定義付けに貢献。関連するまとめ記事や動画が多数作成され、議論を呼んだ。
2026-01-18 05:41,お正月ボケ脱却チャレンジ,"TikTok,X","日常,コメディ,ライフハック",年末年始の長期休暇明けの気だるさを表現するハッシュタグ,長期休暇後の社会復帰の難しさに共感する声が多数,共感
2026-01-18 05:53,猫ミーム,"TikTok,X,YouTube","動物,面白動画,癒し",海外の猫動画を組み合わせた編集スタイル,複数の短い猫動画を繋ぎ、感情を表すBGMをつけた動画形式,多くのユーザーが自分のペットで再現。人気BGMも
2026-01-18 06:07,猫ミーム,N/A,"動物,動画,おもしろ",海外の猫動画を組み合わせたミーム,特定のBGMと猫のリアクション動画,様々なシチュエーションで動画が作成される
2026-01-18 06:07,ずんだもん,N/A,"キャラクター,AI音声,アニメ",東北ずん子プロジェクトのキャラクター,AI音声と「〜なのだ」口調が人気,解説動画、日常会話、二次創作に利用
2026-01-18 06:07,蛇化現象,N/A,"恋愛,心理,日常",蛙化現象の対義語としてSNSで発生,好きな人の欠点も魅力的に感じる状態,恋愛観の共有、共感、議論の対象
2026-01-18 06:07,おぱんちゅううさぎ,N/A,"キャラクター,癒やし,グッズ",可哀想に！氏による人気キャラクター,不幸な目に遭ううさぎ。共感を呼ぶ。,グッズ、SNS投稿、日常会話での使用
2026-01-18 06:31,都知事選ポスター,N/A,"政治,社会,アート",2024年東京都知事選挙,候補者が奇抜なデザインやメッセージのポスターを掲示。,SNSで大きな話題となり、パロディや分析が多数投稿。
2026-01-18 06:31,猫ミーム,N/A,"動物,ユーモア,日常",海外発祥、日本で独自発展,猫の動画にテロップや音楽を付け、日常の出来事を表現。,共感を呼ぶネタとしてSNSで広く拡散、多様な派生が生まれる。
2026-01-18 06:31,特定外来生物 (都知事選),N/A,"政治,ユーモア,社会",2024年東京都知事選挙の候補者,候補者が自身のキャッチフレーズとして使用し、話題に。,候補者の個性的なアピールとしてSNSで拡散、議論を呼んだ。
