日時,名称,PF,トピック,起源,背景,影響
2026-09-01 07:44,Xのいいね非公開化,N/A,"SNS,プラットフォーム,ユーザー行動",X(旧Twitter)の仕様変更,全ユーザーの投稿のいいね数が非表示になった,ユーザー間で賛否両論、投稿内容に変化も
2026-09-01 07:44,きゅうりパック,N/A,"美容,スキンケア,ライフスタイル",不明 (伝統的な美容法),夏の肌ケアとしてSNSで再注目された,実践報告やアレンジが共有され話題に
2026-09-02 05:18,猫ミーム,N/A,"動物,インターネット,日常",海外のショート動画,猫の短い動画を組み合わせたネタ動画,XやTikTokで感情表現に多用され大流行
2026-09-02 05:18,デコピン,N/A,"スポーツ,動物,芸能",大谷翔平選手の愛犬,大谷選手が結婚発表時に紹介した愛犬の名前,多くの人が名前を検索し、関連投稿が急増した
2026-09-02 05:18,ずんだもん,N/A,"キャラクター,音声合成,解説",東北ずん子プロジェクト,AI音声合成ソフトのキャラ。解説動画で人気,YouTubeやXで解説動画やネタ動画が多数投稿
2026-09-02 05:18,スイカゲーム,N/A,"ゲーム,パズル,チャレンジ",Aladdin X (popIn),フルーツを合わせて大きくするパズルゲーム,実況動画や高得点チャレンジが継続して人気
2026-09-02 05:18,蛙化現象/蛇化現象,N/A,"恋愛,心理,人間関係","若者言葉,SNS",好きな相手への冷め/好意が深まる現象,恋愛観や共感を示す投稿が多数見られる
2026-09-02 05:56,蓮舫氏「七夕に願いを」,N/A,"政治,選挙,社会",蓮舫氏のX投稿 (6/10),都知事選出馬表明後の七夕飾り投稿,賛否両論の議論を呼び、ネットで拡散
2026-09-02 05:56,おぱんちゅううさぎカフェ,N/A,"キャラクター,グルメ,イベント",コラボカフェ開催発表 (6/13より),人気キャラ「おぱんちゅううさぎ」の期間限定カフェ,予約殺到、SNSでメニューやグッズが話題に
2026-09-02 05:56,ダンダダン アニメPV,N/A,"アニメ,漫画,エンタメ",アニメ版PV公開 (6/14),人気漫画「ダンダダン」のアニメ化PV,映像美が絶賛され、原作ファンから期待高まる
2026-09-02 05:56,#今日のねこ,N/A,"動物,ペット,日常",Xでのハッシュタグキャンペーン (6/12〜),猫の日にちなんだ愛猫写真・動画共有企画,多くのユーザーが参加し、癒しコンテンツとして拡散
2026-09-04 05:54,東京都知事選ポスター,N/A,"政治,アート,ユーモア",2024年東京都知事選挙の掲示物,多数の候補者が奇抜なデザインで注目を集め、パロディが多発。,選挙への関心向上、パロディ文化の活性化。
2026-09-04 05:54,#お前もか,N/A,"日常,共感,ユーモア",X(旧Twitter)でのハッシュタグ投稿,共通の経験や思考を共有し、共感を呼び合う形式。,ユーザー間の連帯感、共感による交流の活発化。
2026-09-04 05:54,猫ミーム,N/A,"動物,ユーモア,動画",海外のショート動画プラットフォーム,猫のコミカルな動画に効果音や字幕を付けた投稿が流行。,日常の出来事を面白く表現、動画制作のブーム。
2026-09-04 05:54,ブルアカ,N/A,"ゲーム,アニメ,キャラクター",スマートフォンゲーム「ブルーアーカイブ」,新イベントやキャラクターの話題がSNSで頻繁に共有される。,ファンコミュニティの活性化、関連グッズの売上増加。
2026-09-05 05:40,ハッピーハッピーハッピー猫,N/A,"動物,コメディ,動画",海外の猫動画と楽曲,陽気な猫の動きに合わせた楽曲が特徴,日常の幸せな瞬間を表現する動画が多数投稿
2026-09-05 05:40,大谷翔平結婚,N/A,"スポーツ,芸能,ニュース",大谷翔平選手本人の発表,突然の結婚発表が日本中を驚かせた,SNSで祝福や驚きの声が殺到、関連ワードがトレンド入り
2026-09-05 05:40,スイカゲーム,N/A,"ゲーム,パズル",中国のAladdin X社,同じフルーツを合わせて大きくするパズルゲーム,芸能人やVTuberがプレイし人気再燃
2026-09-06 05:15,あなたの推しはどこから,N/A,"推し活,ファン活動,自己紹介",SNSユーザー発信のハッシュタグ,推しとの出会いを語りたいファン心理,多くのファンが参加し、共感や交流が生まれた
2026-09-06 05:15,お笑いドリームマッチ2024,N/A,"テレビ番組,お笑い,エンタメ",TBSテレビの特別番組,人気芸人同士のシャッフルコンビ企画,Xでトレンド入り、番組内容が広く議論された
2026-09-06 05:15,オタクの履歴書,N/A,"オタク文化,自己紹介,ファン活動",SNSユーザー発信のテンプレート,自身のオタク遍歴を共有したい欲求,テンプレートが拡散、多様なジャンルで利用された
2026-09-07 05:18,はぴねすチャレンジ,N/A,"ダンス,音楽,SNS",TikTok,「はぴねす」音源で踊る動画投稿,多くのユーザーが真似して拡散
2026-09-07 05:18,これ以上可愛くなっちゃうぞ,N/A,"アニメ,キャラクター,SNS",アニメ「葬送のフリーレン」,フリーレンのセリフ。可愛いものを見た時に使用。,キャラクターの可愛さで共感、画像や動画と連携
2026-09-07 05:18,猫ミーム,N/A,"動物,動画,SNS",海外の猫動画素材,特定の猫動画を組み合わせて物語を作る,日常の出来事を面白く表現、幅広い層に人気
2026-09-07 05:18,#梅雨入り,N/A,"天気,季節,日常",日本の気象庁発表,梅雨入りに伴う不満や対策、あるあるネタ,共感を呼び、関連商品やサービスが話題に
2026-09-07 05:18,きゅるるん,N/A,"音声,動物,可愛い",TikTokの音源,可愛らしい動物や表情に合わせて使われる効果音,動画の可愛さを強調、癒し効果で拡散
2026-09-08 06:25,おぱんちゅううさぎ,N/A,"キャラクター,グッズ",可哀想に！氏のSNS漫画,不幸な境遇のキャラが共感を呼び、グッズ展開が活発,新商品やコラボがSNSで常に話題に。画像投稿多数。
